Platform,Remerciement,Feedback
Google Avis ,"Ce kit me sauve vraiment la vie, il est super complet et contient des produits variés (légumes, fruits, savons…) qui me serviront au quotidien. Cela me permet de manger convenablement et de bonnes choses ce qui est très difficile avec un budget étudiant…",
Google Avis ,"Très contente du panier, le concept est génial pour les étudiants comme nous, petit point négatif: je vous conseille d’emballer tous ce qui est hygiène etc. J’ai reçu du papier toilette, pas emballé et déjà entamé…c’est pas très propre. Puis des claquettes, pas emballé, avec des cheveux dessus..",
Google Avis ,"Super expérience, merci beaucoup !! Les produits sont variés et de qualité. Les personnes chargées de la distribution sont adorables.
Très heureuse de savoir qu’il existe encore des associations comme vous qui viennent en aide aux étudiants. Encore merci pour tout ",
Google Avis ,"Une initiative incroyable, merci à ces personnes pour tout ce travail, ça fait chaud au cœur de voir qu’il y a des gens, des personnes concernées ou non qui en ont quelque chose à faire. Bon courage pour la suite, gros soutient à tout les bénévoles. ❤️ (ps: le kit était parfait! )",
Google Avis ,"C'est une excellente initiative pour aider les étudiants. Mon panier était rempli de très bons produits, mon livreur était super sympa. Tout était génial. Merci beaucoup",
Google Avis ,"Très bonne expérience, le livreur était très gentil et aimable. Le concept est génial, je ne suis pas du tout déçue de ce que j’ai reçue ça me fait vraiment plaisir que cela existe j’espère que vous allez continuez et grandir !! Courage à tout les étudiants et bénévoles. Merci beaucoup.",
Google Avis ,"Le concept est incroyable, ça m’a honnêtement sauver ma fin de mois. L’équipe est exceptionnel et super à l’écoute. Je ne pense pas qu’il se rende compte du bonheur qu’ils apportent. Merci à vous <3",
Google Avis ,"Je viens de vous découvrir via la chaîne YouTube de Mcflurry&Carl. Et je tenez à vous féliciter et vous donnez de la force. Ce que vous faites c’est grand, c’est beau et très admirable. J’espère de tout cœur que votre association et ses bienfaits ne vont cesser de grandir. Moi-même qui suis étudiante je vous remercie.
Vous êtes une source d’inspiration.",
Google Avis ,"Une équipe parfaite, tous très sympathiques, avec de la volonté et l'amour d'aider. J'ai adoré recevoir mon colis, avec des articles étonnants, et aussi avoir l'occasion de parler quelques minutes avec tout le monde. Merci beaucoup pour tout, Equipage Solidaire !",
Google Avis ,"Un grand merci pour l'équipe et bravo pour votre effort, le panier est super en plus livré à nos propre maison . Ça nous diminue le stresse du budget qu'il ne faut pas dépasser en tant qu'étudiant. Et de se nourrir convenablement.Bravoo!!!",
Google Avis ,"C'est vraiment très bien ! Le panier est bien rempli et la livraison s'est très bien passée. C'est excellent comme concept ça m'aide énormément, et merci à la livreuse très aimable ! Merci beaucoup !",
Google Avis ,"J’aimerais remercier toute l’équipe de Delivr’aide pour le kit qui m’a bien été livré aujourd’hui. Je suis satisfaite et très joyeuse, ça a pratiquement refait ma journée. MERCI BEAUCOUP ET BONNE CONTINUATION <33333",
Google Avis ,"Je viens juste de recevoir mon premier colis et j’en ai les larmes aux yeux, merci infiniment pour cet élan de solidarité. Il est si bon de se sentir aidé.",
Google Avis ,Merci beaucoup Delivr’aide. Le kit est très bien et convient parfaitement au besoin de l’étudiant lambda. L’équipe de livraison est très cool. Je vous souhaite bien de choses pour le bonheur des étudiants.,
Google Avis ,"Le panier solidaire est GÉNIAL. J’ai reçu énormément de produits, alimentaires et hygiénique. J’ai été agréablement surprise et ne m’attendais pas à autant. Merci beaucoup 💪🏽 force et honneur",
Google Avis ,"Cette association est incroyable ! La situation actuelle empire pour les étudiants les plus précaires : inflation, baisse des APL... En clair, être de nos jours un étudiant nécessite d'avoir des aides concrètes, or cette association ""L' Équipage Solidaire"" est l'exemple parfait de ce qu'il faut faire. Je recommande vivement de mettre en lumière la démarche de ces 3 jeunes, qui sont sensibles à la cause des étudiants !!!",
Google Avis ,"Je ne suis pas étudiante mais juste ce message pour vous donner de la force et du soutien ! Bravo pour cette belle initiative, pour votre altruisme et votre générosité ! Vous êtes vraiment de belles personnes ! Bravo à toutes les équipes ! ",
Google Avis ,"Merci beaucoup pour ce panier qui est très complet, très bonne initiative c’est génial. Le livreur est très gentil. Bonne continuation!",
Google Avis ,"Contenu du colis totalement inattendu, j’ai été agréablement surpris et le livreur était souriant et très agréable, Je vous remercie infiniment et j’espère que plein d’autre personnes pourront bénéficier de votre aide.",
Google Avis ,"J’ai commandé à Montpellier le mois dernier, avec un petit mois d’attente (normal car début dans cette zone, manque de bénévole et que je pense que certaine personne ont tout intérêt à passer avant moi), j’ai reçu un kit incroyable avec tout de nécessaire pour tenir une bonne semaine.Merci beaucoup, je viens de voir la vidéo et j’avais complètement zappé de mettre un commentaire",
Google Avis ,"Un panier assez complet avec le nécessaire, des produits alimentaires et d'hygiène aussi, je tiens à préciser que j'ai mentionné lors de ma commande que je consomme pas d'alcool ni de viande, et effectivement c'est bien respecté. Je vous remercie énormément pour cette aide. Merciii pour la livreuse très accueillante et sympathique",
Google Avis ,Merci beaucoup pour ce panier bien garni qui me sauve la vie en tant que étudiante ! Merci à Thomas pour sa livraison rapide et sa gentillesse ! Merci à tous les bénévoles et bravo pour cette belle initiative !,
Google Avis ,Un grand merciii à vous ! Le kit était très complet et la personne qui m’a livré était d’une gentillesse exceptionnelle ! Vous êtes une réelle aide pour les étudiants !,
Google Avis ,Super colis bien remplit que ce soit au niveau alimentaire comme hygiène. Il y a vraiment de tout: sucré comme salé.,
Google Avis ,"Une association au top. Merci à eux, qui font un travail formidable ! J'ai pu les découvrir lors de la dernière vidéo de Mcfly et Carlito, que je peux vous conseiller afin de découvrir cette association. Flexible sur les dates, en fonction des disponibilités, l'équipe est très conviviale et les produits partagés sont de qualité pour subvenir aux besoins d'étudiants en précarité.",
Google Avis ,"Très bon panier, très bonne initiative. Merci pour votre aide. Livré dans les temps, avec livreur très aimable.",
Google Avis ,"Je ne saurais même pas comment décrire à quel point ces gens sont merveilleux    Je ne m'attendais pas à un sac aussi rempli et la gentillesse des livreurs.. ( Yovann si tu lis ceci ) La vie c'est pas facile en ce moment, mentalement et financièrement alors vraiment un énorme merci à toute l'association de juste exister",
Google Avis ,"Bonsoir, Je vous remercie pour le colis. Il est trop bien. Merci beaucoup à Madame Daphnie, elle est arrivée à l'heure et elle est gentille et sympathique.",
Google Avis ,"J'ai été livrée par une bénévole très très sympa, elle s'appelle Daphnée, elle m'a ramené le colis jusqu'à chez moi, bien que j'habite très loin en banlieue de Paris.
Merci à elle.
En plus les articles que j'ai reçu sont bons (bars feed, soupe aux châtaignes, pâtes au blé complet, signal, bain douche, chocolat milka, Thon et chips, légumes en conserves 3*300gr)",
Google Avis ,"Alors, juste pour dire que j'ai vu la vidéo de McFly et Carlito et que j'ai trouvé ça GÉNIAL enfin des gens qui réfléchissent ! C'est incroyable ce que vous faites .",
Google Avis ,Reyan meilleur livreur ! Il est super arrangeant et j'ai pu avoir mon panier alors que j'ai eu un problème sur l'application mais grâce à lui j'ai pu le récupérer. Merci a cette super association,
Google Avis ,"je recommande !! ils sont adorables et j’ai reçu énormément de choses qui m’ont permis de tenir un bon moments, j’ai encore par exemple du shampooing et autres produits d’hygiène. merci à eux!",
Google Avis ,"Merciiii beaucoup, vraiment merci. (Et merci au super livreur Hervé le bienveillant :)) Grâce à vous j’ai pu souffler un peu du stress financier que les étudiants subissent souvent.. Je vous souhaite que du bon !
PS : Je vous offre un super plan de mes chaussettes arc-en-ciel sur la photos des nombreux articles présents dans le panier",
